Date,Startup,Industry Vertical,SubVertical,City,Investor,Type,Amount in cr
2017-09-27,Fashalot,Consumer Internet,O2O fashion discovery platform,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private,0.0
2017-09-27,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bengalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private,8.3
2017-09-27,Gochoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurgaon,"Rivergate Capital,",Seed,0.0
2017-09-28,Myupchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed,2.49
2017-08-01,Aadyah,Technology,Defense Tech & Aerospace startup,Bengalore,Keiretsu Forum,Private,8.3
2017-08-02,Touchkin,Technology,Predictive Care Platform,Bengalore,Kae Capital,Private,10.79
2017-08-02,Ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private,0.0
2017-08-02,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed,0.0
2017-08-02,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed,4.15
2017-08-03,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed,7.055
2017-08-03,Speedbox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed,2.49
2017-08-03,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,Seed,0.0
2017-08-03,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bengalore,"DSG Consumer Partners, Eight Roads Ventures India",Private,0.0
2017-08-04,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,Private,0.0
2017-08-04,Lime Tray,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,Private,0.0
2017-08-04,Coutloot,eCommerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed,0.0
2017-08-05,Box My Space,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed,0.0
2017-08-08,Curatio,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,Private,0.0
2017-08-08,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed,2.0169
2017-08-09,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed,1.826
2017-08-09,Truxapp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed,25.73
2017-08-09,Crofarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed,6.4989
2017-08-10,Doodhwala,Consumer Internet,Online milk delivery,Bengalore,Tom Varkey,Seed,0.0
2017-08-11,Stayabode,Consumer Internet,Co-Living space aggregator,Bengalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private,0.0
2017-08-11,Flipkart,eCommerce,Online Marketplace,Bengalore,Softbank,Private,20750.0
2017-08-11,Moong Labs,Technology,Mobile games developer,New Delhi,Nazara Games,Private,0.0
2017-08-14,Ola,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private,298.8
2017-08-14,Sports Flashes,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private,0.0
2017-08-15,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed,2.5896
2017-08-17,Knab Finance,Consumer Internet,Unsecured Small Business Loans,Bengalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed,3.1955
2017-08-20,Get Simpl,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed,0.0
2017-08-21,Rootefy,eCommerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed,1.5521
2017-08-21,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private,56.44
2017-08-22,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed,6.0922
2017-08-22,Flochat,Consumer Internet,instant messaging platform,Mumbai,"iSquare Global,",Seed,0.0
2017-08-23,Easygov,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed,0.0
2017-08-23,Milk Basket,Consumer Internet,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed,0.0
2017-08-23,Dhruva Space,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private,664.0
2017-08-23,Bombay Shaving Company,eCommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private,19.09
